"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\TimeLineAndDays\Calendar.jsx", "JavaScript JSX", 0, 0, 0, 255, 0, 0, 0, 0, 19, 53, 327
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\TimeLineAndDays\CalendarControls.jsx", "JavaScript JSX", 0, 0, 0, 223, 0, 0, 0, 0, 3, 40, 266
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\TimeLineAndDays\StrictModeModule\StrictModeModal.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 19, 23, 140
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\TimeLineAndDays\TimeLineAndDays.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 24, 20, 88
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\AppBlocking\AppBlocking.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\LivePhoto.jsx", "JavaScript JSX", 0, 0, 0, 147, 0, 0, 0, 0, 0, 38, 185
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCardComponenents\AccountabilitiesToVerify.jsx", "JavaScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 1, 13, 94
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCardComponenents\Challenge.jsx", "JavaScript JSX", 0, 0, 0, 222, 0, 0, 0, 0, 503, 129, 854
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCardComponenents\HelperFunctions\HeaderSection.jsx", "JavaScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 4, 8, 72
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCardComponenents\HelperFunctions\TimeFormatter.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 15, 8, 62
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCardComponenents\PhotoUpload.jsx", "JavaScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 106, 34, 282
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCardComponenents\Positions.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 73, 19, 167
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCardComponenents\VerfiyList.jsx", "JavaScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 1, 15, 107
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LivePhoto\PhotoCards.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 130, 32, 244
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\LiveVideo\LiveVideo.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\Randomised\Randomised.jsx", "JavaScript JSX", 0, 0, 0, 192, 0, 0, 0, 0, 12, 15, 219
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\Components\ToDos\ToDos.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 4, 10, 82
